cliente,edad,flag_visita_unica,indicador_frecuencia_find_semana,indicador_frecuencia_semana,indicador_genero_mas_visto,incidencia_personal_dulceria,Numero_entradas_compradas_moda,TP_boleteria,indicador_nro_visitas_mes,indicador_estreno,indicador_promocion_especiales,indicador_promocion_nino,indicador_upselling_combo,canal_venta_preferido,indicador_cliente_prime,indicador_cliente_xtreme,total_dulceria,total_boleteria,canti_visitas_periodo,tp_cliente_dulceria,PROMEDIO_ENTRADAS_COMPRADAS,Nro_entradas_totales_comprada,TP_dul_por_entrada
8797,31,1,0,1,Accion,0,1,7.5,0,1,1,0,0,Complejos,0,0,0,7.5,1,0,1,1,0
8798,39,0,0.7143,0.2857,Ciencia Ficcion,0.43,3,24.5625,0,0.7143,0.8846,0.1429,0.3333,Complejos,0,0,61,196.5,7,20.3333,3.25,26,2.35
8799,24,1,0,1,Thriller,0,2,30,0,1,1,0,0,Complejos,0,0,0,30,1,0,2,2,0
8800,23,0,0.1818,0.8182,Ciencia Ficcion,0.18,2,11.1923,1,0.8333,0.2308,0,0.6667,Complejos,0,0,30,145.5,11,10,2,26,1.15
8801,47,0,0.5,0.5,Familiar,0.75,3,31,1,0,0.8,0,0,Complejos,0,0,91.5,124,4,30.5,2.5,10,9.15
8802,51,0,0,1,Aventura,0,1,10,0,0,0.6667,0,0,Complejos,0,0,0,20,2,0,1.5,3,0
8803,22,0,0.0909,0.9091,Accion,0.82,1,12.75,1,0.5455,0.5263,0,0.2,Complejos,0,0,268,153,11,26.8,1.5833,19,14.11
8804,27,0,0,1,Ciencia Ficcion,0.9,2,13.8061,0,0.35,0.1111,0,0.3333,Tienda Web,0,0,637,455.6,20,30.3333,1.6364,54,11.8
8805,30,0,0.3333,0.6667,Ciencia Ficcion,0.67,2,36,1,0.6667,0,0,0.25,Complejos,0,0.6667,137.5,108,3,34.375,2.6667,8,17.19
8806,23,0,0.1429,0.8571,Terror,0.6,2,7.8929,0,0.1786,0.1333,0,0.3043,Complejos,0,0,318.5,331.5,35,13.8478,1.4286,60,5.31
8807,40,0,0.3333,0.6667,Accion,0,2,27,0,1,0.6667,0,0,Complejos,0,0,0,81,3,0,2,6,0
8808,51,0,0.8,0.2,Comedia,0.6,2,30.6667,1,0.8,0.7,0.2,0.3333,Complejos,0,0,153,276,5,51,2.2222,20,7.65
8809,31,1,0,1,Animacion,1,2,27,0,0,0,1,0,Complejos,0,0,67.5,27,1,33.75,2,2,33.75
8810,23,0,0.2727,0.7273,Ciencia Ficcion,0.27,2,14.6333,0,0.5,0.0217,0.0455,1,Tienda Web,0,0,163,439,22,20.375,1.5333,46,3.54
8811,29,1,0,1,Drama,1,2,6.5,0,0,0.5,0,0,Complejos,0,0,19.5,13,1,19.5,1,2,9.75
8812,26,0,1,0,Terror,0,2,14,0,0.5,0.5,0,0,Complejos,0,0,0,28,2,0,2,4,0
8813,25,1,0,1,Drama,1,2,33,0,0,1,0,0,Complejos,0,0,30.5,33,1,30.5,2,2,15.25
8814,23,0,0.6,0.4,Accion,0,2,31.7,1,0.5,0.625,0,0,Complejos,0,0,0,317,10,0,2.4,24,0
8815,29,0,0.125,0.875,Familiar,0.25,2,19.375,0,0.5,0.5417,0,0.6667,Complejos,0,0,55,155,8,18.3333,3,24,2.29
8816,22,0,0.1111,0.8889,Accion,0.33,2,16.5417,0,0.2222,0,0,0.3333,Tienda Web,0,0,155.5,198.5,9,51.8333,2,24,6.48
8817,36,0,1,0,Aventura,0.67,3,37,0,0,1,0,0.5,Complejos,0,0,53.5,111,3,26.75,3,9,5.94
8818,35,0,0.1429,0.8571,Familiar,0.86,4,17.1818,0,0.2857,0,0.1429,0.7143,Complejos,0,0,243,189,7,34.7143,2.3636,26,9.35
8819,47,1,0,1,Drama,0,2,8,0,0,0.5,0,0,Complejos,0,0,0,16,1,0,1,2,0
8820,51,1,0,1,Familiar,0,7,105,0,0,1,0,0,Complejos,0,0,0,105,1,0,7,7,0
8821,22,0,0.2308,0.7692,Aventura,0.38,4,42.7692,0,0.4545,0.0227,0,0.2857,Tienda Web,0,0,178.5,556,13,25.5,3.3846,44,4.06
8822,20,1,1,0,Familiar,1,3,51,0,0,1,0,0,Complejos,0,0,31,51,1,31,3,3,10.33
8823,27,1,0,1,Comedia,1,2,16,0,1,0,0,1,Complejos,0,0,14.5,16,1,14.5,2,2,7.25
8824,32,0,0.1818,0.8182,Dibujo animado,0.59,2,16.9865,3,0.4091,0.0702,0.0455,0.2778,Tienda Web,0.027,0,429,628.5,22,23.8333,1.5405,57,7.53
8825,33,0,0.5455,0.4545,Comedia,0.73,2,38.7273,2,0.5455,0.1818,0,0.2222,Tienda Web,0.0909,0,270.5,426,11,30.0556,2,22,12.3
8826,41,0,0.3333,0.6667,Dibujo animado,1,4,34.75,0,0,0,0.3333,0.5,Tienda Web,0,0,95,139,3,23.75,2.75,11,8.64
8827,58,0,0,1,Drama,0.5,4,31,0,0.3333,0.6667,0,0.3333,Complejos,0,0,101.5,248,6,33.8333,2.625,21,4.83
8828,23,0,0.2,0.8,Drama,0.4,1,26.3,0,0.6,0.9091,0,0.2222,Complejos,0,0,118.5,131.5,5,13.1667,2.2,11,10.77
